"","GPA","SLC","School","Plus","Physics","Math","Chemistry","Bio","Parent1","Parent2","X1","X2","X3","X4","X5","X6","X111","X222","X333","X444","X555","X666"
"1",0.8625,0.69,1,0.833333333333333,0.810810810810811,0.519230769230769,0.789473684210526,0.923913043478261,0,0.666666666666667,0.88,0.78,0.541666666666667,0.88,0.84,0.84,0.944444444444444,0.833333333333333,0.888888888888889,1,1,0.833333333333333
"2",0.7525,0.791666666666667,1,0.722222222222222,0.567567567567568,0.75,0.552631578947368,0.815217391304348,1,1,0.94,0.78,0.375,0.82,0.96,0.8,0.833333333333333,0.944444444444444,0.722222222222222,0.888888888888889,0.777777777777778,0.777777777777778
"3",0.955,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.98,0.88,0.541666666666667,0.86,0.78,0.82,0.944444444444444,1,0.944444444444444,0.944444444444444,1,0.944444444444444
"4",0.815,0.833333333333333,0,0.777777777777778,0.675675675675676,0.865384615384615,0.394736842105263,0.760869565217391,0.333333333333333,1,0.8,0.82,0.916666666666667,0.72,0.72,0.64,1,1,0.888888888888889,0.722222222222222,0.611111111111111,0.944444444444444
"5",0.87,0.861111111111111,0,0.777777777777778,0.675675675675676,0.865384615384615,0.394736842105263,0.760869565217391,0.333333333333333,1,1,0.82,0.916666666666667,0.76,0.9,0.84,0.944444444444444,0.944444444444444,0.833333333333333,1,0.944444444444444,0.777777777777778
"6",0.62,0.888888888888889,1,0.722222222222222,0.567567567567568,0.634615384615385,0.394736842105263,0.869565217391304,1,1,0.84,0.72,0.75,0.72,0.92,0.68,0.722222222222222,0.833333333333333,0.666666666666667,0.777777777777778,0.722222222222222,0.722222222222222
"7",0.6325,0.861111111111111,0,0.777777777777778,0.675675675675676,0.865384615384615,0.394736842105263,0.760869565217391,0,1,1,0.82,0.916666666666667,0.76,0.9,0.84,0.666666666666667,0.777777777777778,0.777777777777778,0.722222222222222,0.777777777777778,0.777777777777778
"8",0.84,0.555555555555556,1,0.5,0.756756756756757,0.326923076923077,0.0263157894736842,0.521739130434783,0,1,0.88,0.88,0.291666666666667,0.92,0.78,0.64,0.888888888888889,1,0.833333333333333,0.833333333333333,0.777777777777778,0.944444444444444
"9",0.845,0.583333333333333,1,0.5,0.756756756756757,0.326923076923077,0.0263157894736842,0.521739130434783,0,1,0.9,0.88,0.583333333333333,0.84,0.84,0.94,0.944444444444444,1,0.888888888888889,0.722222222222222,0.944444444444444,0.777777777777778
"10",0.8975,0.416666666666667,1,0.583333333333333,0.027027027027027,0.442307692307692,0.157894736842105,0,0.333333333333333,0.666666666666667,0.92,0.9,0.583333333333333,0.9,0.78,0.94,1,1,0.777777777777778,0.722222222222222,0.944444444444444,1
"11",0.945,0.294444444444444,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.96,0.88,0.625,0.92,0.9,0.94,1,1,0.888888888888889,0.888888888888889,0.944444444444444,1
"12",0.9025,0.322222222222222,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.82,0.88,0.583333333333333,1,0.88,0.94,0.944444444444444,1,0.888888888888889,0.777777777777778,0.944444444444444,0.944444444444444
"13",0.645,0.35,0,0.5,0.486486486486487,0.365384615384615,0.447368421052632,0,0.333333333333333,0,0.78,0.76,0.708333333333333,0.7,0.88,0.74,0.666666666666667,0.944444444444444,0.722222222222222,0.722222222222222,0.722222222222222,0.722222222222222
"14",0.65,0.583333333333333,0,0.694444444444444,0.540540540540541,0.576923076923077,0.763157894736842,0.760869565217391,0.666666666666667,1,0.72,0.8,0.5,0.8,0.82,0.78,0.666666666666667,0.777777777777778,0.888888888888889,0.666666666666667,0.722222222222222,0.888888888888889
